name,x,y,z,is_clock,is_input,is_output,iob,real_io_assoc
A20,186,6,0,1,1,1,IOB_X1Y145,True
B19,186,5,0,1,1,1,IOB_X1Y146,True
B20,186,4,0,1,1,1,IOB_X1Y147,True
C20,186,3,0,1,1,1,IOB_X1Y148,True
D18,186,8,0,1,1,1,IOB_X1Y143,True
D19,186,9,0,1,1,1,IOB_X1Y142,True
D20,186,10,0,1,1,1,IOB_X1Y141,True
E17,186,7,0,1,1,1,IOB_X1Y144,True
E18,186,11,0,1,1,1,IOB_X1Y140,True
E19,186,12,0,1,1,1,IOB_X1Y139,True
F16,186,13,0,1,1,1,IOB_X1Y138,True
F17,186,14,0,1,1,1,IOB_X1Y137,True
F19,186,32,0,1,1,1,IOB_X1Y120,True
F20,186,33,0,1,1,1,IOB_X1Y119,True
G14,186,2,0,1,1,1,IOB_X1Y149,True
G15,186,41,0,1,1,1,IOB_X1Y111,True
G17,186,34,0,1,1,1,IOB_X1Y118,True
G18,186,35,0,1,1,1,IOB_X1Y117,True
G19,186,38,0,1,1,1,IOB_X1Y114,True
G20,186,39,0,1,1,1,IOB_X1Y113,True
H15,186,40,0,1,1,1,IOB_X1Y112,True
H16,186,28,0,1,1,1,IOB_X1Y124,True
H17,186,29,0,1,1,1,IOB_X1Y123,True
H18,186,31,0,1,1,1,IOB_X1Y121,True
H20,186,37,0,1,1,1,IOB_X1Y115,True
J14,186,43,0,1,1,1,IOB_X1Y109,True
J15,186,53,0,1,1,1,IOB_X1Y100,True
J16,186,51,0,1,1,1,IOB_X1Y101,True
J18,186,30,0,1,1,1,IOB_X1Y122,True
J19,186,22,0,1,1,1,IOB_X1Y129,True
J20,186,36,0,1,1,1,IOB_X1Y116,True
K9,124,26,0,1,1,1,IPAD_X0Y0,True
K14,186,42,0,1,1,1,IOB_X1Y110,True
K16,186,50,0,1,1,1,IOB_X1Y102,True
K17,186,25,0,1,1,1,IOB_X1Y126,True
K18,186,26,0,1,1,1,IOB_X1Y125,True
K19,186,21,0,1,1,1,IOB_X1Y130,True
L10,124,26,1,1,1,1,IPAD_X0Y1,True
L14,186,46,0,1,1,1,IOB_X1Y106,True
L15,186,47,0,1,1,1,IOB_X1Y105,True
L16,186,23,0,1,1,1,IOB_X1Y128,True
L17,186,24,0,1,1,1,IOB_X1Y127,True
L19,186,19,0,1,1,1,IOB_X1Y132,True
L20,186,20,0,1,1,1,IOB_X1Y131,True
M14,186,48,0,1,1,1,IOB_X1Y104,True
M15,186,49,0,1,1,1,IOB_X1Y103,True
M17,186,17,0,1,1,1,IOB_X1Y134,True
M18,186,18,0,1,1,1,IOB_X1Y133,True
M19,186,15,0,1,1,1,IOB_X1Y136,True
M20,186,16,0,1,1,1,IOB_X1Y135,True
N15,186,44,0,1,1,1,IOB_X1Y108,True
N16,186,45,0,1,1,1,IOB_X1Y107,True
N17,186,101,0,1,1,1,IOB_X1Y54,True
N18,186,81,0,1,1,1,IOB_X1Y74,True
N20,186,83,0,1,1,1,IOB_X1Y72,True
P14,186,66,0,1,1,1,IOB_X1Y88,True
P15,186,103,0,1,1,1,IOB_X1Y52,True
P16,186,104,0,1,1,1,IOB_X1Y51,True
P18,186,102,0,1,1,1,IOB_X1Y53,True
P19,186,82,0,1,1,1,IOB_X1Y73,True
P20,186,84,0,1,1,1,IOB_X1Y71,True
R14,186,67,0,1,1,1,IOB_X1Y87,True
R16,186,93,0,1,1,1,IOB_X1Y62,True
R17,186,94,0,1,1,1,IOB_X1Y61,True
R18,186,96,0,1,1,1,IOB_X1Y59,True
R19,186,55,0,1,1,1,IOB_X1Y99,True
T5,2,146,0,1,1,1,IOB_X0Y12,True
T9,2,131,0,1,1,1,IOB_X0Y26,True
T10,186,57,0,1,1,1,IOB_X1Y97,True
T11,186,56,0,1,1,1,IOB_X1Y98,True
T12,186,58,0,1,1,1,IOB_X1Y96,True
T14,186,64,0,1,1,1,IOB_X1Y90,True
T15,186,65,0,1,1,1,IOB_X1Y89,True
T16,186,72,0,1,1,1,IOB_X1Y82,True
T17,186,95,0,1,1,1,IOB_X1Y60,True
T19,186,106,0,1,1,1,IOB_X1Y50,True
T20,186,85,0,1,1,1,IOB_X1Y70,True
U5,2,147,0,1,1,1,IOB_X0Y11,True
U7,2,129,0,1,1,1,IOB_X0Y28,True
U8,2,143,0,1,1,1,IOB_X0Y15,True
U9,2,142,0,1,1,1,IOB_X0Y16,True
U10,2,132,0,1,1,1,IOB_X0Y25,True
U12,186,59,0,1,1,1,IOB_X1Y95,True
U13,186,60,0,1,1,1,IOB_X1Y94,True
U14,186,76,0,1,1,1,IOB_X1Y78,True
U15,186,77,0,1,1,1,IOB_X1Y77,True
U17,186,73,0,1,1,1,IOB_X1Y81,True
U18,186,78,0,1,1,1,IOB_X1Y76,True
U19,186,79,0,1,1,1,IOB_X1Y75,True
U20,186,86,0,1,1,1,IOB_X1Y69,True
V5,2,120,0,1,1,1,IOB_X0Y37,True
V6,2,152,0,1,1,1,IOB_X0Y6,True
V7,2,130,0,1,1,1,IOB_X0Y27,True
V8,2,138,0,1,1,1,IOB_X0Y20,True
V10,2,151,0,1,1,1,IOB_X0Y7,True
V11,2,150,0,1,1,1,IOB_X0Y8,True
V12,186,62,0,1,1,1,IOB_X1Y92,True
V13,186,61,0,1,1,1,IOB_X1Y93,True
V15,186,74,0,1,1,1,IOB_X1Y80,True
V16,186,91,0,1,1,1,IOB_X1Y64,True
V17,186,97,0,1,1,1,IOB_X1Y58,True
V18,186,98,0,1,1,1,IOB_X1Y57,True
V20,186,87,0,1,1,1,IOB_X1Y68,True
W6,2,153,0,1,1,1,IOB_X0Y5,True
W8,2,139,0,1,1,1,IOB_X0Y19,True
W9,2,141,0,1,1,1,IOB_X0Y17,True
W10,2,140,0,1,1,1,IOB_X0Y18,True
W11,2,144,0,1,1,1,IOB_X0Y14,True
W13,186,63,0,1,1,1,IOB_X1Y91,True
W14,186,70,0,1,1,1,IOB_X1Y84,True
W15,186,75,0,1,1,1,IOB_X1Y79,True
W16,186,92,0,1,1,1,IOB_X1Y63,True
W18,186,99,0,1,1,1,IOB_X1Y56,True
W19,186,100,0,1,1,1,IOB_X1Y55,True
W20,186,88,0,1,1,1,IOB_X1Y67,True
Y6,2,135,0,1,1,1,IOB_X0Y23,True
Y7,2,134,0,1,1,1,IOB_X0Y24,True
Y8,2,137,0,1,1,1,IOB_X0Y21,True
Y9,2,136,0,1,1,1,IOB_X0Y22,True
Y11,2,145,0,1,1,1,IOB_X0Y13,True
Y12,2,148,0,1,1,1,IOB_X0Y10,True
Y13,2,149,0,1,1,1,IOB_X0Y9,True
Y14,186,71,0,1,1,1,IOB_X1Y83,True
Y16,186,68,0,1,1,1,IOB_X1Y86,True
Y17,186,69,0,1,1,1,IOB_X1Y85,True
Y18,186,89,0,1,1,1,IOB_X1Y66,True
Y19,186,90,0,1,1,1,IOB_X1Y65,True
